form	lemma	POS	morph
༄༅། །		PUNCT
དཔལ་	དཔལ་	OTHER
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ངེས་དོན་	ངེས་དོན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
སྒྲོན་མ་	སྒྲོན་མ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
རེད་	རེད་	VERB
མདའ་བ་	མདའ་བ་	NOUN
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཀྱིས་	གིས་	PART
བརྩམས་	བརྩམས་	VERB
།།		PUNCT
ན་མོ་	ན་མོ་	X
ཤྲཱི་		NON_WORD
ཀཱ་	ཀཱ་	NO_POS
ལ་	ལ་	PART
ཙཀྲཱ་		NON_WORD
ཡེ་	ཡེ་	ADV
།		PUNCT
ཉི་ཁྲི་	ཉི་ཁྲི་	OTHER
ཆིག་སྟོང་	ཆིག་སྟོང་	NO_POS
དྲུག་	དྲུག་	NUM
བརྒྱ་	བརྒྱ་	NUM
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
འཕོ་	འཕོ་	VERB
མེད་	མེད་	VERB
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
འཁྲུངས་	འཁྲུངས་	NO_POS
ཤིང་	ཅིང་	PART
། །		PUNCT
མི་	མི་	PART
འགྱུར་	འགྱུར་	VERB
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
བདེ་བ་	བདེ་བ་	VERB
ཆེ་	ཆེ་	VERB
ལ་	ལ་	PART
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
འི་	གི་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ས་	གིས་	PART
འཁྱུད་	འཁྱུད་	NO_POS
། །		PUNCT
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
གློ་བུ་	གློ་བུ་	OTHER
དྲི་མ་	དྲི་མ་	NOUN
སྤངས་	སྤངས་	VERB
ཀྱང་	ཀྱང་	PART
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
རྨི་ལམ་	རྨི་ལམ་	NOUN
སྒྱུ་	སྒྱུ་	NOUN
བཞིན་	བཞིན་	NOUN
སྣང་	སྣང་	VERB
། །		PUNCT
རྣམ་	རྣམ་	NOUN
བཅུ་	བཅུ་	NUM
དབང་ལྡན་	དབང་ལྡན་	NO_POS
སྟོང་	སྟོང་	NUM
ཆེན་	ཆེན་	NO_POS
ཡིག་	ཡིག་	NOUN
ལྔ་	ལྔ་	NUM
ཨེ་ཝཾ་	ཨེ་ཝཾ་	X
ཡིག་	ཡིག་	NOUN
གཉིས་	གཉིས་	NUM
དེ་	སྟེ་	PART
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
གངས་རི་	གངས་རི་	NOUN
འི་	གི་	PART
ཁྲོད་	ཁྲོད་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
མཁས་རློམ་	མཁས་རློམ་	NO_POS
གཞན་དག་	གཞན་དག་	NO_POS
གིས་	གིས་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
། །		PUNCT
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
མ་	མ་	PART
རྟོགས་	རྟོགས་	VERB
བློ་ངན་	བློ་ངན་	NOUN
མུན་པ་	མུན་པ་	NOUN
ས་	གིས་	PART
བསླད་	བསླད་	NO_POS
། །		PUNCT
ཐ་	ཐ་	VERB
འདོད་	འདོད་	VERB
ཕལ་ཆེ་		
ལོག་པ་	ལོག་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	PART
ཁྲིད་	ཁྲིད་	VERB
། །		PUNCT
